sl_no;gender;ssc_p;hsc_p;hsc_s;degree_p;degree_t;workex;etest_p;specialisation;mba_p;salary
177;F;59.00;60.00;Commerce;56.00;Comm&Mgmt;No;55;Mkt&HR;57.9;220000
178;F;73.00;97.00;Commerce;79.00;Comm&Mgmt;Yes;89;Mkt&Fin;70.81;650000
179;M;68.00;56.00;Science;68.00;Sci&Tech;No;73;Mkt&HR;68.07;350000
180;F;77.80;64.00;Science;64.20;Sci&Tech;No;75.5;Mkt&HR;72.14;
181;M;65.00;71.50;Commerce;62.80;Comm&Mgmt;Yes;57;Mkt&Fin;56.6;265000
182;M;62.00;60.33;Science;64.21;Sci&Tech;No;63;Mkt&HR;60.02;
183;M;52.00;65.00;Arts;57.00;Others;Yes;75;Mkt&Fin;59.81;
184;M;65.00;77.00;Commerce;69.00;Comm&Mgmt;No;60;Mkt&HR;61.82;276000
185;F;56.28;62.83;Commerce;59.79;Comm&Mgmt;No;60;Mkt&HR;57.29;
186;F;88.00;72.00;Science;78.00;Others;No;82;Mkt&HR;71.43;252000
187;F;52.00;64.00;Commerce;61.00;Comm&Mgmt;No;55;Mkt&Fin;62.93;
188;M;78.50;65.50;Science;67.00;Sci&Tech;Yes;95;Mkt&Fin;64.86;280000
189;M;61.80;47.00;Commerce;54.38;Comm&Mgmt;No;57;Mkt&Fin;56.13;
190;F;54.00;77.60;Commerce;69.20;Comm&Mgmt;No;95.65;Mkt&Fin;66.94;
191;F;64.00;70.20;Commerce;61.00;Comm&Mgmt;No;50;Mkt&Fin;62.5;
192;M;67.00;61.00;Science;72.00;Comm&Mgmt;No;72;Mkt&Fin;61.01;264000
193;M;65.20;61.40;Commerce;64.80;Comm&Mgmt;Yes;93.4;Mkt&Fin;57.34;270000
194;F;60.00;63.00;Arts;56.00;Others;Yes;80;Mkt&HR;56.63;300000
195;M;52.00;55.00;Commerce;56.30;Comm&Mgmt;No;59;Mkt&Fin;64.74;
196;M;66.00;76.00;Commerce;72.00;Comm&Mgmt;Yes;84;Mkt&HR;58.95;275000
197;M;72.00;63.00;Science;77.50;Sci&Tech;Yes;78;Mkt&Fin;54.48;250000
198;F;83.96;53.00;Science;91.00;Sci&Tech;No;59.32;Mkt&HR;69.71;260000
199;F;67.00;70.00;Commerce;65.00;Others;No;88;Mkt&HR;71.96;
200;M;69.00;65.00;Commerce;57.00;Comm&Mgmt;No;73;Mkt&HR;55.8;265000
201;M;69.00;60.00;Commerce;65.00;Comm&Mgmt;No;87.55;Mkt&Fin;52.81;300000
202;M;54.20;63.00;Science;58.00;Comm&Mgmt;No;79;Mkt&HR;58.44;
203;M;70.00;63.00;Science;66.00;Sci&Tech;No;61.28;Mkt&HR;60.11;240000
204;M;55.68;61.33;Commerce;56.87;Comm&Mgmt;No;66;Mkt&HR;58.3;260000
205;F;74.00;73.00;Commerce;73.00;Comm&Mgmt;Yes;80;Mkt&Fin;67.69;210000
206;M;61.00;62.00;Commerce;65.00;Comm&Mgmt;No;62;Mkt&Fin;56.81;250000
207;M;41.00;42.00;Science;60.00;Comm&Mgmt;No;97;Mkt&Fin;53.39;
208;M;83.33;78.00;Commerce;61.00;Comm&Mgmt;Yes;88.56;Mkt&Fin;71.55;300000
209;F;43.00;60.00;Science;65.00;Comm&Mgmt;No;92.66;Mkt&HR;62.92;
210;M;62.00;72.00;Commerce;65.00;Comm&Mgmt;No;67;Mkt&Fin;56.49;216000
211;M;80.60;82.00;Commerce;77.60;Comm&Mgmt;No;91;Mkt&Fin;74.49;400000
212;M;58.00;60.00;Science;72.00;Sci&Tech;No;74;Mkt&Fin;53.62;275000
213;M;67.00;67.00;Commerce;73.00;Comm&Mgmt;Yes;59;Mkt&Fin;69.72;295000
214;F;74.00;66.00;Commerce;58.00;Comm&Mgmt;No;70;Mkt&HR;60.23;204000
215;M;62.00;58.00;Science;53.00;Comm&Mgmt;No;89;Mkt&HR;60.22;
